python getRuleAccuracy.py ComplementRulesLB0.001C0.5NR10000/Complement1RulesLB0.001C0.5NR10000.csv UsefulFold1.csv,,,,,,,,,,
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement3RulesLB0.001C0.7NR10000.csv UsefulFold3.csv,,,,,,,,,,
fullyCoveredInstances,308,,,,,,,,,904
partiallyCoveredInstances,4,,,,,,,,,13
nonCoveredInstances,12,,,,,,,,,44
instanceCount,324,,,,,,,,,961
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement4RulesLB0.001C0.7NR10000.csv UsefulFold4.csv,,,,,,,,,,
fullyCoveredInstances,289,,,,,,,,,1193
partiallyCoveredInstances,7,,,,,,,,,20
nonCoveredInstances,15,,,,,,,,,59
instanceCount,311,,,,,,,,,1272
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement5RulesLB0.001C0.7NR10000.csv UsefulFold5.csv,,,,,,,,,,
fullyCoveredInstances,306,,,,,,,,,1499
partiallyCoveredInstances,7,,,,,,,,,27
nonCoveredInstances,14,,,,,,,,,73
instanceCount,327,,,,,,,,,1599
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement6RulesLB0.001C0.7NR10000.csv UsefulFold6.csv,,,,,,,,,,
fullyCoveredInstances,308,,,,,,,,,1807
partiallyCoveredInstances,5,,,,,,,,,32
nonCoveredInstances,13,,,,,,,,,86
instanceCount,326,,,,,,,,,1925
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement7RulesLB0.001C0.7NR10000.csv UsefulFold7.csv,,,,,,,,,,
fullyCoveredInstances,300,,,,,,,,,2107
partiallyCoveredInstances,11,,,,,,,,,43
nonCoveredInstances,11,,,,,,,,,97
instanceCount,322,,,,,,,,,2247
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement8RulesLB0.001C0.7NR10000.csv UsefulFold8.csv,,,,,,,,,,
fullyCoveredInstances,303,,,,,,,,,2410
partiallyCoveredInstances,5,,,,,,,,,48
nonCoveredInstances,11,,,,,,,,,108
instanceCount,319,,,,,,,,,2566
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement9RulesLB0.001C0.7NR10000.csv UsefulFold9.csv,,,,,,,,,,
fullyCoveredInstances,283,,,,,,,,,2693
partiallyCoveredInstances,3,,,,,,,,,51
nonCoveredInstances,17,,,,,,,,,125
instanceCount,303,,,,,,,,,2869
python getRuleAccuracy.py ComplementRulesLB0.001C0.7NR10000/Complement10RulesLB0.001C0.7NR10000.csv UsefulFold10.csv,,,,,,,,,,
fullyCoveredInstances,294,,,,,,,,,2987
partiallyCoveredInstances,8,,,,,,,,,59
nonCoveredInstances,13,,,,,,,,,138
instanceCount,315,,,,,,,,,3184
,,,,,,,,,,
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement1RulesLB0.001C0.8NR10000.csv UsefulFold1.csv,,,,,,,,,,
fullyCoveredInstances,302,,,,,,,,,302
partiallyCoveredInstances,2,,,,,,,,,2
nonCoveredInstances,21,,,,,,,,,21
instanceCount,325,,,,,,,,,325
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement2RulesLB0.001C0.8NR10000.csv UsefulFold2.csv,,,,,,,,,,
fullyCoveredInstances,275,,,,,,,,,577
partiallyCoveredInstances,6,,,,,,,,,8
nonCoveredInstances,31,,,,,,,,,52
instanceCount,312,,,,,,,,,637
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement3RulesLB0.001C0.8NR10000.csv UsefulFold3.csv,,,,,,,,,,
fullyCoveredInstances,301,,,,,,,,,878
partiallyCoveredInstances,3,,,,,,,,,11
nonCoveredInstances,20,,,,,,,,,72
instanceCount,324,,,,,,,,,961
python getRuleAccuracy.py ComplementRulesLB0.001C0.8NR10000/Complement4RulesLB0.001C0.8NR10000.csv UsefulFold4.csv,,,,,,,,,,
fullyCoveredInstances,283,,,,,,,,,1161
partiallyCoveredInstances,4,,,,,,,,,15
nonCoveredInstances,24,,,,,,,,,96
instanceCount,311,,,,,,,,,1272
